old	new	confidence	reason	def_file
D_80B5A468	sTurningToPlayer	GUESS	set to 1 once the yaw error to the player exceeds 0x1556 and cleared when EnZl3_StepYawTowardsPlayer reports the turn finished; gates that turn in EnZl3_UpdateTurnToPlayer. Reset by EnZl3_Reset and listed in EN_ZL3_SHIP_SAVESTATE_FIELDS	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
D_80B5A46C	sLimb13Offset	GUESS	the {0,0,0} vector Matrix_MultVec3f-ed at limb 13 in EnZl3_PostLimbDraw to fill this->unk_31C. Zero, so it just samples the limb matrix origin	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
D_80B5A478	sZl3FocusOffset	GUESS	the {0,10,0} vector Matrix_MultVec3f-ed at limb 14 (the head) in EnZl3_PostLimbDraw to place actor.focus.pos, i.e. the point the camera and Z-target aim at	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
D_80B5A484	sEyeOpenPhase	GUESS	counter stepped 0-to-4 by EnZl3_OpenEyesOnWake: eye texture 2 (shut) for the first two frames, 1 (half) for the next two, then normal blinking. A wake-up ramp, not a timer anything else reads	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
D_80B5A488	sCrySfxPos	GUESS	the {0,0,0} position handed to Audio_PlaySoundRandom for the NA_SE_VO_Z1_CRY_0..1 cry, i.e. play it at the listener rather than at the actor	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
D_80B5A494	sCueDelayTimer	GUESS	counts down in EnZl3_CheckDemoModeInFinal2; cue 8 arms it to 10 and when it reaches 0 the delayed EnZl3_SetupAction17 fires. Reset to -1 by EnZl3_Reset and listed in EN_ZL3_SHIP_SAVESTATE_FIELDS	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
D_80B5A498	sStalfosSpawnPos0	GUESS	first of the two positions EnZl3_SpawnStalfosPair passes to EnZl3_SpawnStalfosAt for the ambush in the collapsing tower	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
D_80B5A4A4	sStalfosSpawnPos1	GUESS	second of the two positions EnZl3_SpawnStalfosPair passes to EnZl3_SpawnStalfosAt for the ambush in the collapsing tower	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
D_80B5A4B0	sStalfosSpawnPos2	GUESS	a third ambush position of the same shape as sStalfosSpawnPos0 and sStalfosSpawnPos1, sharing their y of 260. Unreferenced -- a cut third Stalfos	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
D_80B5A4BC	sReactingToPlayerHurt	GUESS	latch in EnZl3_WaitForStalfosDefeated: set when the player takes damage (invincibilityTimer > 0) so Zelda swaps to the cowering animation, cleared when the player recovers. Reset by EnZl3_Reset and listed in EN_ZL3_SHIP_SAVESTATE_FIELDS	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B533B0	EnZl3_InitCollider	HIGH	Collider_InitCylinder plus Collider_SetCylinderType1 with sCylinderInit; called from EnZl3_Init	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B533FC	EnZl3_UpdateCollider	HIGH	Collider_UpdateCylinder plus CollisionCheck_SetOC each frame	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B53468	EnZl3_PlayEscapeBgm	HIGH	queues NA_BGM_ESCAPE on SEQ_PLAYER_BGM_MAIN	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B53488	EnZl3_FindGanon	HIGH	walks ACTORCAT_BOSS for ACTOR_BOSS_GANON2, caches it in this->ganon and returns it	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5357C	EnZl3_DropCollectible	HIGH	Item_DropCollectible of type 3 at a randomly jittered copy of the actor position	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B53614	EnZl3_SpawnRiverSound	HIGH	Actor_Spawn of ACTOR_EN_RIVER_SOUND at the fixed collapse-scene coordinates	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5366C	EnZl3_UpdateBgCheckInfo	HIGH	the actor Actor_UpdateBgCheckInfo call, run from every action handler	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B536B4	EnZl3_ClearGroundBgCheckFlags	GUESS	clears BGCHECKFLAG_GROUND and BGCHECKFLAG_GROUND_TOUCH (mask 0x9) from actor.bgCheckFlags	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B536C4	EnZl3_ResetHeadAndTorsoRot	HIGH	Math_SmoothStepToS-es the head and torso NpcInteractInfo rotations back to zero on both axes	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B53764	EnZl3_TrackPlayer	HIGH	points interactInfo.trackPos at the player and calls Npc_TrackPoint with NPC_TRACKING_HEAD_AND_TORSO	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B537E8	EnZl3_StepYawTowardsPlayer	HIGH	Math_SmoothStepToS-es world.rot.y towards actor.yawTowardsPlayer with an easing step kept in unk_3D0, mirrors it into shape.rot.y, and returns the remaining error	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B538B0	EnZl3_UpdateTurnToPlayer	GUESS	arms sTurningToPlayer once the yaw error exceeds 0x1556, then drives EnZl3_StepYawTowardsPlayer until it reports zero. A hysteresis wrapper so Zelda does not jitter towards small player movements	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5396C	EnZl3_GetCue	GUESS	returns unk_3C8, the cue index the two Check_DemoMode dispatchers switch on	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B53974	EnZl3_SetCue	GUESS	stores the cue index read back by EnZl3_GetCue	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B53980	EnZl3_StepHairYaw	HIGH	the spring driven with sp30.y in EnZl3_OverrideLimbDrawHair; integrates unk_25C/unk_28C/unk_2BC at the given hair joint. Same three-spring shape as EnZl2_StepHairYaw	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B53B64	EnZl3_StepHairRoll	HIGH	the spring driven with sp30.z in EnZl3_OverrideLimbDrawHair, with per-joint rest angles and per-action animation-driven limits	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B54360	EnZl3_StepHairPitch	HIGH	the spring driven with sp30.x in EnZl3_OverrideLimbDrawHair, coupling each joint to the one above it via the unk_25C index chain	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5458C	EnZl3_OverrideLimbDrawHair	HIGH	sOverrideLimbDrawFuncs[0]: at limb 14 builds the seven-matrix hair chain into segment 0x0C, running the three springs at each joint. Named Hair because EnZl3_OverrideLimbDraw is the dispatcher that calls it	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5944C	EnZl3_OverrideLimbDrawHairStill	GUESS	sOverrideLimbDrawFuncs[1]: the same seven-matrix hair chain at limb 14 as EnZl3_OverrideLimbDrawHair but with fixed offsets and no spring update, i.e. the hair frozen	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B54DB4	EnZl3_GetSwitchFlagIndex	HIGH	(params >> 8) & 0xFF -- the value handed to Flags_SetSwitch/Flags_GetSwitch and compared against the per-scene spawn table	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B54DC4	EnZl3_GetPathIndex	HIGH	(params >> 4) & 0xF -- the index into play->setupPathList used by EnZl3_GetPathInfo	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B54DD4	EnZl3_GetType	HIGH	params & 0xF -- selects which of the three inits (inFinal, inFinal2, collapse) EnZl3_InitByType runs	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B54DE0	EnZl3_SetAnimObjectSegment	HIGH	points gSegments[6] at the loaded OBJECT_ZL2_ANIME2 segment; first call of every action handler	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B54E14	EnZl3_ChangeAnim	HIGH	Animation_Change wrapper choosing forward or reverse playback from arg4, exactly the EnZl2_ChangeAnim shape	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B54EA4	EnZl3_SpawnEnEg	HIGH	Actor_Spawn of ACTOR_EN_EG at the actor position	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B54EF4	EnZl3_PlayPainSfx	HIGH	Sfx_PlaySfxAtPos of NA_SE_VO_Z1_PAIN	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B54F18	EnZl3_SpawnWarpCrystal	HIGH	spawns ACTOR_DOOR_WARP1 as a child with WARP_PURPLE_CRYSTAL, once, guarded by unk_2F8	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B54FB4	EnZl3_InitInFinal	HIGH	its own debug string names it: En_Zl3_Actor_inFinal_Init. Sets action 1, draw config 1, and spawns the warp crystal	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55054	EnZl3_FadeOutWarpCrystal	GUESS	ramps the child DoorWarp1 crystalAlpha down over 19 frames, then Actor_Kills it and clears actor.child	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B550F0	EnZl3_MoveWarpCrystalToSelf	GUESS	keeps the child warp actor pinned to the actor position each frame	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55144	EnZl3_OpenEyesOnWake	GUESS	steps sEyeOpenPhase 0-to-4, holding eye texture 2 (shut) then 1 (half) before handing over to EnZl3_UpdateEyes	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B551E0	EnZl3_SetupAction1	HIGH	changes to gZelda2Anime2Anim_008AD0 and sets action = 1	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55220	EnZl3_SetupAction2	HIGH	changes to gZelda2Anime2Anim_0091D8, sets action = 2 and mouth 0	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55268	EnZl3_SetupAction3	HIGH	changes to gZelda2Anime2Anim_0091D8 and sets action = 3	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B552A8	EnZl3_ChangeAnimOnAnimDone1	GUESS	called from EnZl3_Action3 with the EnZl3_UpdateSkelAnime result: when the action-3 animation finishes, switch to the gZelda2Anime2Anim_0099A0 follow-up	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B552DC	EnZl3_SetupAction4	HIGH	changes to gZelda2Anime2Anim_00A598, plays the pain cry, sets mouth 2, action = 4, and starts the escape BGM	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55334	EnZl3_ChangeAnimOnAnimDone2	GUESS	called from EnZl3_Action4 with the EnZl3_UpdateSkelAnime result: on animation end switch to gZelda2Anime2Anim_00AACC	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55368	EnZl3_SetupAction5	HIGH	changes to gZelda2Anime2Anim_00A334, sets mouth 0 and action = 5	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B553B4	EnZl3_ChangeAnimOnAnimDone3	GUESS	called from EnZl3_Action5 with the EnZl3_UpdateSkelAnime result: on animation end switch to gZelda2Anime2Anim_009FBC	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B553E8	EnZl3_StartEscape	GUESS	the cue-7 branch of EnZl3_CheckDemoModeInFinal; forwards to EnZl3_StartCollapseEscape which sets the switch, the sub-timer and action 27	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55408	EnZl3_KillSelfAndChild	HIGH	Actor_Kills the child warp actor if present and then the actor itself	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55444	EnZl3_CheckDemoModeInFinal	HIGH	its own debug string names it: En_Zl3_inFinal_Check_DemoMode. Dispatches the cue index to the action-1..5 setups	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55550	EnZl3_Action1	HIGH	sActionFuncs[1]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B555A4	EnZl3_Action2	HIGH	sActionFuncs[2]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55604	EnZl3_Action3	HIGH	sActionFuncs[3]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5566C	EnZl3_Action4	HIGH	sActionFuncs[4]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B556CC	EnZl3_Action5	HIGH	sActionFuncs[5]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5572C	EnZl3_Action6	HIGH	sActionFuncs[6]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55780	EnZl3_InitInFinal2	HIGH	its own debug string names it: En_Zl3_Actor_inFinal2_Init. Sets action 7, draw config 1, mouth 1 and drops ACTOR_FLAG_ATTENTION_ENABLED	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55808	EnZl3_PlayPainSfx2	HIGH	a second Sfx_PlaySfxAtPos of NA_SE_VO_Z1_PAIN, identical to EnZl3_PlayPainSfx but called from the inFinal2 setups	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5582C	EnZl3_PlayCrySfx	HIGH	Audio_PlaySoundRandom across the NA_SE_VO_Z1_CRY_0..NA_SE_VO_Z1_CRY_1 range	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5585C	EnZl3_PlayPainSfxOnFrame4	HIGH	plays NA_SE_VO_Z1_PAIN when the once-through animation reaches frame 4	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B558A8	EnZl3_SetLungeTarget	GUESS	records the current position in unk_32C and computes the destination unk_338 a fixed short distance ahead in the facing direction; the pair EnZl3_LerpToLungeTarget interpolates between	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B559C4	EnZl3_LerpToLungeTarget	GUESS	Environment_LerpWeightAccelDecel over the gZelda2Anime2Anim_005248 length, moving x and z from unk_32C to unk_338	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55A58	EnZl3_StepYawTowardsPlayerIfMainCam	GUESS	runs EnZl3_StepYawTowardsPlayer only while play->activeCamera is CAM_ID_MAIN, i.e. not during a one-point cutscene	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55A84	EnZl3_SetupAction7	HIGH	changes to gZelda2Anime2Anim_005A0C and sets action = 7	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
